id,population,x,y
304,1301,401458.3573075672,6191959.6586029194
303,737,401376.0975902746,6191978.9029073901
306,656,401311.0778839924,6191908.2999789706
305,589,401381.4816792407,6191890.8906806391
308,561,401323.9477727710,6191808.1851664940
309,295,401401.6025685431,6191802.0443153773
307,834,401676.1293357712,6191879.3071136558
311,364,401606.1695792857,6191813.7085865345
301,465,401453.0615829032,6192048.2466790192
321,761,401580.2234918622,6191732.2066889955
310,295,401386.2994923530,6191745.4457546342
312,349,401197.6133304201,6191709.7945681363
313,745,401167.3384711328,6191586.7920650393
315,585,401262.7362536993,6191607.9190870868
318,183,401363.9262438196,6191603.2973067593
319,164,401410.3625726506,6191610.5470911041
314,761,401372.5290009883,6191677.1570695415
320,183,401456.9972003970,6191617.4101104913
316,349,401219.9837342621,6191481.3128514076
317,1017,401359.3942587154,6191489.3103844151
334,600,401560.2842386919,6191476.6050282596
333,992,401707.9130004428,6191478.4422955895
332,339,401841.9434637459,6191513.9207301196
331,290,401789.3982367121,6191555.4360050848
329,168,401740.0007163514,6191573.9365023905
328,175,401693.3798261010,6191566.9444474876
330,175,401601.1088161671,6191553.1162954774
327,175,401647.2144786127,6191559.7377067916
326,165,401505.5580165875,6191595.2260718793
335,394,401313.0389746464,6191553.2768633096
324,165,401556.9251160072,6191642.6281988323
322,176,401575.6185175168,6191698.3933558771
323,160,401637.0016624994,6191693.3661589958
325,176,401616.9480107790,6191635.4911959777
302,486,401593.9597931617,6191993.3764416762
300,269,401559.1577280390,6192083.6282673450
